handle = 0x0002, char properties = 0x0a, char value handle = 0x0003, uuid = 00002a00-0000-1000-8000-00805f9b34fb
handle = 0x0004, char properties = 0x02, char value handle = 0x0005, uuid = 00002a01-0000-1000-8000-00805f9b34fb
handle = 0x0006, char properties = 0x02, char value handle = 0x0007, uuid = 00002a04-0000-1000-8000-00805f9b34fb
handle = 0x0009, char properties = 0x20, char value handle = 0x000a, uuid = 00002a05-0000-1000-8000-00805f9b34fb
handle = 0x000d, char properties = 0x10, char value handle = 0x000e, uuid = 226caa55-6476-4566-7562-66734470666d
handle = 0x0012, char properties = 0x18, char value handle = 0x0013, uuid = 226cbb55-6476-4566-7562-66734470666d
handle = 0x0017, char properties = 0x12, char value handle = 0x0018, uuid = 00002a19-0000-1000-8000-00805f9b34fb
handle = 0x001b, char properties = 0x02, char value handle = 0x001c, uuid = 00002a29-0000-1000-8000-00805f9b34fb
handle = 0x001d, char properties = 0x02, char value handle = 0x001e, uuid = 00002a24-0000-1000-8000-00805f9b34fb
handle = 0x001f, char properties = 0x02, char value handle = 0x0020, uuid = 00002a25-0000-1000-8000-00805f9b34fb
handle = 0x0021, char properties = 0x02, char value handle = 0x0022, uuid = 00002a27-0000-1000-8000-00805f9b34fb
handle = 0x0023, char properties = 0x02, char value handle = 0x0024, uuid = 00002a26-0000-1000-8000-00805f9b34fb
handle = 0x0026, char properties = 0x04, char value handle = 0x0027, uuid = 00001532-1212-efde-1523-785feabcd123
handle = 0x0028, char properties = 0x18, char value handle = 0x0029, uuid = 00001531-1212-efde-1523-785feabcd123
handle = 0x002b, char properties = 0x02, char value handle = 0x002c, uuid = 00001534-1212-efde-1523-785feabcd123
handle = 0x002e, char properties = 0x18, char value handle = 0x002f, uuid = 00000001-0000-1000-8000-00805f9b34fb
handle = 0x0031, char properties = 0x02, char value handle = 0x0032, uuid = 00000002-0000-1000-8000-00805f9b34fb
handle = 0x0033, char properties = 0x02, char value handle = 0x0034, uuid = 00000004-0000-1000-8000-00805f9b34fb
handle = 0x0035, char properties = 0x08, char value handle = 0x0036, uuid = 00000010-0000-1000-8000-00805f9b34fb
handle = 0x0037, char properties = 0x0a, char value handle = 0x0038, uuid = 00000013-0000-1000-8000-00805f9b34fb
handle = 0x0039, char properties = 0x0a, char value handle = 0x003a, uuid = 00000014-0000-1000-8000-00805f9b34fb
